Rank,Name,Length,Elevation gain,Rocky,Scramble,No shade,Slippery,Stairs,Muddy,Roots,Easy,Moderate,Hard,Strenuous
1,Mount Yonah Trail,4.3,1489,1,1,0,0,0,0,0,11,219,285,38
2,East Palisades Trail and Bamboo Forest,4.2,495,0,0,0,1,0,0,1,55,202,10,0
3,Cloudland Canyon West Rim Loop,4.7,705,1,0,0,0,1,0,0,44,273,27,1
4,Tallulah Gorge and North and South Rim Loop Trail,1.8,534,1,0,0,0,1,0,0,47,169,41,18
5,Indian Seats Loop,3.5,508,1,0,0,0,0,0,0,87,198,2,0
6,Amicalola Falls via East Ridge Loop Trail,2.1,793,1,0,0,0,1,0,0,25,237,42,25
7,Blood Mountain via Byron Reece Trail,4,1446,1,1,0,0,0,0,0,7,93,103,14
8,Preachers Rock from Woody Gap Recreational Area,1.9,439,1,0,0,0,0,0,1,45,190,5,0
9,Vickery Creek Trail,3.5,380,0,0,0,1,0,0,1,71,124,3,1
10,Raven Cliff Falls Trail,4.9,623,1,1,0,0,0,0,0,54,170,14,0
11,Cherokee Falls and Hemlock Falls Trail,1.2,452,1,1,0,0,1,0,1,9,164,45,15
12,Blood Mountain and Freeman Loop Trail,5.7,1558,1,1,0,0,0,1,0,11,56,61,6
13,Stone Mountain Cherokee Loop,5.1,400,1,0,1,1,0,0,0,36,117,12,1
14,East Palisades North Loop and Bamboo Forest,5.7,751,0,0,0,1,0,0,0,22,164,12,0
15,Kennesaw Mountain Overlook via Little Kennesaw and Brumby Camp,5.1,1007,1,0,0,1,0,0,0,3,87,19,1
16,Stone Mountain Walk-Up Trail,2.2,675,1,0,1,0,0,0,0,29,155,22,7
17,Dukes Creek Trail,2.3,334,0,0,0,0,1,0,0,148,106,0,0
18,Canyon Loop Trail,2.2,232,0,0,0,1,0,0,0,67,70,4,0
19,Tallulah Gorge Overlooks Trail,2.5,708,1,0,0,0,1,0,0,9,99,15,7
20,Sweetwater Creek Red and White Trail Loop,4.7,442,1,1,0,0,0,0,0,12,107,10,1
21,Iron Hill Loop,3.8,164,0,0,0,0,0,0,0,177,39,0,0
22,Pigeon Hill to East and West Loop Trail,6.1,1181,1,0,0,0,0,0,0,8,82,14,0
23,Indian Seats Trail,1.5,282,1,0,0,0,0,1,0,77,49,0,0
24,Sitton's Gulch Trail,4.9,1020,0,0,0,0,1,0,0,11,103,21,6
25,Amicalola Falls to Len Foote Hike Inn,4.8,1217,0,0,0,0,0,0,0,9,94,12,6
26,High Shoals Falls Trail,2.5,551,0,0,0,0,0,0,0,25,110,7,1
27,Pine Mountain Summit via West Loop,2.2,626,1,0,0,1,0,0,0,23,92,15,2
28,Kennesaw Mountain Peak Trail,2.2,662,0,0,0,0,0,0,0,10,60,8,0
29,Island Ford Trail,5.9,636,0,0,0,0,0,0,0,57,91,0,0
30,Laurel Ridge Trail,3.3,446,0,0,0,0,0,0,0,51,100,1,0
31,Upper Falls Via Panther Creek Trail,6.9,711,1,0,0,1,0,0,0,5,100,46,3
32,Homestead Trail,5.3,518,1,0,0,0,0,0,1,26,99,5,0
33,Vickery Creek Trail Short Loop,2.3,298,1,0,0,0,0,0,0,31,68,0,1
34,Vickery Creek From Oxbo Road,2.8,229,1,0,0,1,0,0,1,39,103,3,0
35,Sweetwater Creek White Trail Loop,4.9,472,1,0,0,0,0,0,0,10,61,11,3
36,Brasstown Bald Trail,1.3,426,0,0,0,0,0,0,0,20,62,7,2
37,Providence Canyon Backcountry Trail Loop,6.6,600,0,0,0,0,0,1,0,14,85,12,4
38,West Rim Loop Trail,2.5,262,1,0,0,0,0,1,1,37,72,1,0
39,Fort Yargo Lake Loop,6,360,0,0,0,0,0,1,0,48,86,1,0
40,Tennessee Rock Trail,2.2,561,0,0,0,1,0,0,1,15,137,7,0
41,Cartecay River Loop Trail,3.6,479,1,0,0,1,0,0,0,22,129,3,0
42,Anna Ruby Falls Trail,0.9,219,0,0,0,0,0,0,0,56,32,3,0
43,Jones Bridge Trail,4.2,262,0,0,0,0,0,1,0,63,67,0,0
44,Amicalola Falls,0.3,242,0,0,0,1,1,0,0,3,17,7,10
45,East Palisades North Loop,3.3,515,0,0,0,0,0,1,0,14,51,6,0
46,Providence Canyons Trail,1.8,272,0,0,0,0,0,1,0,29,33,2,0
47,Sweetwater Creek Red Trail,2,111,1,0,0,1,0,0,1,35,37,2,0
48,Len Foote and Appalachian Approach Loop,9.9,2240,1,0,0,0,0,0,0,4,37,34,2
49,Arabia Mountain Klondike and Forest Trails Loop,3.9,318,1,0,0,0,0,1,0,42,45,0,0
50,DeSoto Falls Trail,2,190,1,0,0,0,0,0,1,73,22,0,0
51,Bear Hair Gap Trail,4.3,951,1,0,0,1,0,0,0,7,107,14,1
52,Gold Branch Trail,3.4,314,1,0,0,0,0,0,1,17,84,1,1
53,Appalachian Approach Trail to Springer Mountain,16,4137,1,0,0,0,1,0,0,2,10,18,11
54,Amicalola Falls Lookout via Creek Trail and West Ridge Falls Access,2.3,587,0,0,0,0,1,0,0,4,49,14,6
55,Pine Mountain Trail to Cascade Falls,3.9,462,1,0,0,0,0,1,0,15,66,3,2
56,Allatoona Falls Trail,3.1,236,1,0,0,1,0,1,0,44,69,5,0
57,Rabun Bald via Beegum Gap,3.1,1036,0,0,0,0,0,1,0,7,81,5,2
58,Sope Creek Loop from Paper Mill Road,2.7,255,0,0,0,0,0,1,0,31,35,3,1
59,Hemlock Falls Trail,1.9,242,1,0,0,0,0,0,0,71,28,0,0
60,Homestead Trail Sweet Gum Trail Osprey Loop Trail and Lakeside Trail,6.1,593,1,0,0,0,0,0,1,21,53,0,0
61,Big Cedar Mountain and Granny Top via Appalachian Trail,4.8,1062,1,0,0,0,0,0,0,7,42,5,0
62,Sweetwater Red and White Loop Trail,2.4,203,1,1,0,1,1,0,0,14,66,11,0
63,West Trail Pigeon Hill to Kennesaw Mountain Visitor Center,5.9,1712,1,0,0,0,0,0,0,1,21,7,1
64,Pine Log Creek Trail,4.5,728,0,0,0,0,0,0,1,6,68,5,2
65,Amicalola Falls Loop,2.4,813,0,0,0,0,1,0,0,1,42,6,0
66,Long Branch Loop Trail,2.2,288,0,0,0,0,0,0,1,102,35,2,0
67,Fall Branch Falls Trail,0.9,193,0,0,0,0,0,0,0,21,42,0,0
68,Long Creek Falls via Appalachian and Benton MacKaye Trail,1.9,331,1,0,0,0,0,1,1,42,9,0,0
69,Cochran Shoals Trail from Interstate North Trailhead,6,370,1,0,0,0,0,0,0,16,38,0,0
70,Pine Mountain East and West Loop Trail,4.6,1279,1,0,0,1,0,0,1,3,28,7,0
71,Flat Creek Loop,5.6,1023,1,0,0,1,0,0,1,17,123,6,0
72,West Palisades Trail,4,590,1,0,0,0,0,0,0,7,60,4,1
73,Stone Wall Stone Tower and West Overlook Trails Loop,1.5,423,1,0,0,1,1,0,1,25,51,4,0
74,Blood Mountain via Appalachian Trail,4.6,1361,1,0,0,0,0,0,0,0,20,19,1
75,Chattahoochee River Loop from Interstate North Trailhead,3.3,32,0,0,0,0,0,0,0,55,13,2,0
76,Lake Zwerner aka Yahoola Creek Reservoir,3.3,413,1,0,0,0,0,0,1,20,59,2,0
77,Kennesaw Mountain and Visitor Center Short Loop,3.4,682,1,0,0,1,0,0,0,9,41,4,0
78,Hilltop Mountainside and Ridgeline Loop,4.9,708,1,0,0,0,0,0,0,6,47,2,0
79,Kennesaw Mountain East and West Loop,11.3,1735,1,0,0,0,0,0,0,17,20,20,1
80,Gahuti Backcountry Trail,7.9,1581,1,0,0,1,0,0,0,1,24,34,2
81,Settles Bridge Park Extended Loop Trail,2.4,187,0,0,0,0,0,0,0,29,41,0,0
82,Panther Falls and Angel Falls Trail,2.2,410,1,0,0,1,0,0,1,6,56,1,0
83,Brasstown Bald via Jack's Gap,5.9,2221,0,0,0,0,0,0,0,0,31,34,7
84,Unicoi Lake Loop,2,131,0,0,0,0,0,0,1,79,8,0,0
85,Pine Mountain Summit via East Loop Trail,2.9,751,1,0,0,0,0,0,0,4,21,5,0
86,High Falls Trail,1.1,150,1,0,0,0,0,0,1,19,44,2,4
87,Sweetwater Creek Yellow Trail,3.3,449,0,0,0,0,0,0,0,10,32,8,0
88,Sweetgum Loop Trail,2.3,213,0,0,0,0,0,1,0,31,32,1,0
89,West Ridge Falls Access Trail,0.5,85,0,0,0,0,0,0,0,16,10,1,3
90,Hardage Mill and Noses Creek Loop,3.5,492,0,0,0,0,0,1,0,12,26,1,1
91,Kolb's Farm Loop Trail,5.2,423,0,0,0,0,0,0,0,32,36,1,0
92,Bartram Trail to Pinnacle Knob,8.1,1755,1,0,0,0,0,0,0,3,34,5,0
93,Klondike Trail to Arabia Mountain,3.3,265,1,0,1,1,0,0,0,25,27,1,0
94,Point Park and Craven's House Loop,2.7,593,1,0,0,0,1,0,1,2,49,1,0
95,Walk-in Campsites to Sitton's Gulch Trail,4,810,1,0,0,0,1,0,0,3,42,8,0
96,Stanley Gap and Benton Mackaye Loop Trail,2.7,603,0,0,0,0,0,0,0,5,71,4,0
97,Springer Mountain,1.9,393,1,0,0,1,0,1,0,11,18,2,0
98,Unicoi to Helen Trail,5.5,646,0,0,0,1,0,0,0,31,44,1,0
99,Tumbling Waters Trail,1,88,0,0,0,0,0,0,0,35,52,3,0
100,Kennesaw Mountain Overlook via Pigeon Hill Trail,2.4,600,1,0,0,1,0,0,1,2,19,3,0
